Experiment,Optimizer,Learning_Rate,Batch_Size,Accuracy,Precision,Recall,F1,Execution_Time,Fold_Number
6,Adam,0.1,32,0.6976190476190476,0.7031372815671317,0.7302424433738973,0.6937399671034835,526.8156883716583,1
37,Adam,0.001,32,0.95,0.9441531157917712,0.9498581890532355,0.9439985476868542,477.97745084762573,2
10,Adam,0.1,32,0.6047619047619047,0.6343750333809721,0.6250677973706052,0.617071205130139,529.862562417984,5
26,AdamW,0.01,32,0.6761904761904762,0.6619090326692932,0.6872840822420654,0.6452919214454313,505.6436622142792,1
32,SGD,0.001,32,0.9785714285714285,0.9772392290249433,0.9768096712369159,0.9764584621727479,361.5686020851135,2
53,Adam,0.0001,32,0.9761904761904762,0.9797072768501339,0.976908276908277,0.9773953498052144,371.5816695690155,3
41,AdamW,0.001,32,0.9380952380952381,0.9311080771058241,0.9335723438657404,0.9308218525048055,371.6570782661438,1
51,Adam,0.0001,32,0.9714285714285714,0.9693515760864438,0.9696511704096844,0.9679022328379174,371.98791122436523,1
47,SGD,0.0001,32,0.9642857142857143,0.9626351954923383,0.9649248455363006,0.9629791812738059,379.0389337539673,2
56,AdamW,0.0001,32,0.9619047619047619,0.9594313366372189,0.9641252231886906,0.9591585690552522,382.47382712364197,1
60,AdamW,0.0001,32,0.9666666666666667,0.9697066668857561,0.9706955830765354,0.9682962743446821,386.85764026641846,5
25,Adam,0.01,32,0.8238095238095238,0.8379146545704246,0.836315062007742,0.8300695216765221,597.7542140483856,5
11,AdamW,0.1,32,0.5976190476190476,0.5980878922968803,0.6312841440633746,0.574979651904813,644.1145148277283,1
21,Adam,0.01,32,0.8,0.7995765677305684,0.798877457170248,0.788672900276564,652.3437325954437,1
19,SGD,0.01,32,0.9833333333333333,0.9855316449519348,0.9849584278155705,0.9849168213584876,638.4895815849304,4
22,Adam,0.01,32,0.7523809523809524,0.7375279456102839,0.7493613232099474,0.7342081517877718,672.4398171901703,2
49,SGD,0.0001,32,0.9619047619047619,0.9624915712149301,0.9646473913822592,0.9619519365697701,700.222633600235,4
18,SGD,0.01,32,0.9761904761904762,0.9783343640486498,0.9744362391421214,0.9758922867972428,497.01431012153625,3
24,Adam,0.01,32,0.7238095238095238,0.729852893152126,0.761390822747336,0.7181512080837555,529.9067769050598,4
3,SGD,0.1,32,0.7666666666666667,0.7730532434587969,0.7578778838682434,0.7545776543872431,528.4773042201996,3
5
8,Adam,0.1,32,0.6357142857142857,0.6381707218207036,0.6502877925770995,0.6333589264946118,541.9294984340668,3
9,Adam,0.1,32,0.5476190476190477,0.5511959019951347,0.5666651783963925,0.5381333357971203,522.3293642997742,4

20,SGD,0.01,32,0.9809523809523809,0.9837397438846716,0.9821762038148594,0.981698247551906,523.8985247612,5
12,AdamW,0.1,32,0.36904761904761907,0.3467857126901797,0.5030271114293671,0.34747067087316,525.796413898468,2
13,AdamW,0.1,32,0.6452380952380953,0.6549790681111469,0.6721756226335449,0.6194010768135408,611.5643978118896,3
1,SGD,0.1,32,0.8,0.7886499703650477,0.7920688528609386,0.7870168312395243,666.4100933074951,1
4,SGD,0.1,32,0.7857142857142857,0.7953888959387682,0.7949573971002541,0.7851618151667494,675.5011608600616,4
23,Adam,0.01,32,0.7976190476190477,0.8084763608831932,0.7913147149561717,0.7880362924151407,897.6968533992767,3
5,SGD,0.1,32,0.7904761904761904,0.8120777526506524,0.8076048103651816,0.7980129139745106,289.8781666755676,5
7,Adam,0.1,32,0.7166666666666667,0.7052239369963826,0.7329157379632834,0.7096793952694102,254.62205624580383,2
